Country code,Series name,2000,2005,avg_value,median_value,std_dev
ABW,Land area below 5m (% of land area),29.57481,34706526643.07122,17353263336.323013,17353263336.323013,14168880157.898474
ADO,Land area below 5m (% of land area),0.0,34706526643.07122,17353263321.53561,17353263321.53561,14168880169.97234
AFG,Land area below 5m (% of land area),0.0,34706526643.07122,17353263321.53561,17353263321.53561,14168880169.97234
AGO,Land area below 5m (% of land area),0.2082346,34706526643.07122,17353263321.63973,17353263321.63973,14168880169.88733
ALB,Land area below 5m (% of land area),4.967875,34706526643.07122,17353263324.019547,17353263324.019547,14168880167.944214
ARE,Land area below 5m (% of land area),4.644515,34706526643.07122,17353263323.85787,17353263323.85787,14168880168.076225
ARG,Land area below 5m (% of land area),1.230535,34706526643.07122,17353263322.15088,17353263322.15088,14168880169.469976
ARM,Land area below 5m (% of land area),0.0,34706526643.07122,17353263321.53561,17353263321.53561,14168880169.97234
ASM,Land area below 5m (% of land area),17.89262,34706526643.07122,17353263330.48192,17353263330.48192,14168880162.66771
ATG,Land area below 5m (% of land area),32.42317,34706526643.07122,17353263337.747196,17353263337.747196,14168880156.735636
AUS,Land area below 5m (% of land area),1.141535,34706526643.07122,17353263322.106377,17353263322.106377,14168880169.50631
AUT,Land area below 5m (% of land area),0.0,34706526643.07122,17353263321.53561,17353263321.53561,14168880169.97234
AZE,Land area below 5m (% of land area),19.96988,34706526643.07122,17353263331.52055,17353263331.52055,14168880161.819672
BDI,Land area below 5m (% of land area),0.0,34706526643.07122,17353263321.53561,17353263321.53561,14168880169.97234
BEL,Land area below 5m (% of land area),9.242276,34706526643.07122,17353263326.15675,17353263326.15675,14168880166.199198
BEN,Land area below 5m (% of land area),1.155602,34706526643.07122,17353263322.11341,17353263322.11341,14168880169.500568
BFA,Land area below 5m (% of land area),0.0,34706526643.07122,17353263321.53561,17353263321.53561,14168880169.97234
BGD,Land area below 5m (% of land area),14.06936,34706526643.07122,17353263328.57029,17353263328.57029,14168880164.22855
BGR,Land area below 5m (% of land area),0.4296998,34706526643.07122,17353263321.75046,17353263321.75046,14168880169.796915
BHR,Land area below 5m (% of land area),39.03492,34706526643.07122,17353263341.05307,17353263341.05307,14168880154.036402
BHS,Land area below 5m (% of land area),71.98609,34706526643.07122,17353263357.528656,17353263357.528656,14168880140.58414
BIH,Land area below 5m (% of land area),0.07322166,34706526643.07122,17353263321.57222,17353263321.57222,14168880169.942446
BLR,Land area below 5m (% of land area),0.0,34706526643.07122,17353263321.53561,17353263321.53561,14168880169.97234
BLZ,Land area below 5m (% of land area),9.454244,34706526643.07122,17353263326.262733,17353263326.262733,14168880166.112661
BMU,Land area below 5m (% of land area),82.26367,34706526643.07122,17353263362.667446,17353263362.667446,14168880136.388336
BOL,Land area below 5m (% of land area),0.0,34706526643.07122,17353263321.53561,17353263321.53561,14168880169.97234
BRA,Land area below 5m (% of land area),1.212341,34706526643.07122,17353263322.14178,17353263322.14178,14168880169.477404
BRB,Land area below 5m (% of land area),15.69373,34706526643.07122,17353263329.382477,17353263329.382477,14168880163.565401
BRN,Land area below 5m (% of land area),3.335603,34706526643.07122,17353263323.20341,17353263323.20341,14168880168.610586
BTN,Land area below 5m (% of land area),0.0,34706526643.07122,17353263321.53561,17353263321.53561,14168880169.97234
BWA,Land area below 5m (% of land area),0.0,34706526643.07122,17353263321.53561,17353263321.53561,14168880169.97234
CAF,Land area below 5m (% of land area),0.0,34706526643.07122,17353263321.53561,17353263321.53561,14168880169.97234
CAN,Land area below 5m (% of land area),2.393023,34706526643.07122,17353263322.73212,17353263322.73212,14168880168.995392
CHE,Land area below 5m (% of land area),0.0,34706526643.07122,17353263321.53561,17353263321.53561,14168880169.97234
CHI,Land area below 5m (% of land area),21956746574.405476,34706526643.07122,28331636608.73835,28331636608.73835,5205075916.823025
CHL,Land area below 5m (% of land area),3.080679,34706526643.07122,17353263323.07595,17353263323.07595,14168880168.714657
CHN,Land area below 5m (% of land area),1.382015,34706526643.07122,17353263322.226616,17353263322.226616,14168880169.408134
CIV,Land area below 5m (% of land area),0.192768,34706526643.07122,17353263321.631992,17353263321.631992,14168880169.893644
CMR,Land area below 5m (% of land area),0.08356156,34706526643.07122,17353263321.577393,17353263321.577393,14168880169.938227
COG,Land area below 5m (% of land area),0.05497334,34706526643.07122,17353263321.563095,17353263321.563095,14168880169.949898
COK,Land area below 5m (% of land area),87.86789,34706526643.07122,17353263365.469555,17353263365.469555,14168880134.100426
COL,Land area below 5m (% of land area),0.9430991,34706526643.07122,17353263322.00716,17353263322.00716,14168880169.587322
COM,Land area below 5m (% of land area),13.46283,34706526643.07122,17353263328.267025,17353263328.267025,14168880164.476164
CPV,Land area below 5m (% of land area),14.51925,34706526643.07122,17353263328.795235,17353263328.795235,14168880164.044882
CRI,Land area below 5m (% of land area),2.116565,34706526643.07122,17353263322.59389,17353263322.59389,14168880169.108255
CUB,Land area below 5m (% of land area),12.66866,34706526643.07122,17353263327.86994,17353263327.86994,14168880164.80038
CUW,Land area below 5m (% of land area),21956746574.405476,34706526643.07122,28331636608.73835,28331636608.73835,5205075916.823025
CYM,Land area below 5m (% of land area),60.28383,34706526643.07122,17353263351.677525,17353263351.677525,14168880145.36157
CYP,Land area below 5m (% of land area),6.421041,34706526643.07122,17353263324.74613,17353263324.74613,14168880167.350962
CZE,Land area below 5m (% of land area),0.0,34706526643.07122,17353263321.53561,17353263321.53561,14168880169.97234
DEU,Land area below 5m (% of land area),4.917982,34706526643.07122,17353263323.994602,17353263323.994602,14168880167.964582
DJI,Land area below 5m (% of land area),2.564216,34706526643.07122,17353263322.81772,17353263322.81772,14168880168.925503
DMA,Land area below 5m (% of land area),9.404154,34706526643.07122,17353263326.237686,17353263326.237686,14168880166.13311
DNK,Land area below 5m (% of land area),17.66819,34706526643.07122,17353263330.369705,17353263330.369705,14168880162.759333
DOM,Land area below 5m (% of land area),4.139139,34706526643.07122,17353263323.60518,17353263323.60518,14168880168.282545
DZA,Land area below 5m (% of land area),0.3513818,34706526643.07122,17353263321.7113,17353263321.7113,14168880169.828888
EAP,Land area below 5m (% of land area),2.45265179589219,34706526643.07122,17353263322.761936,17353263322.761936,14168880168.97105
ECA,Land area below 5m (% of land area),2.49051227471527,34706526643.07122,17353263322.780865,17353263322.780865,14168880168.955593
ECU,Land area below 5m (% of land area),2.036756,34706526643.07122,17353263322.55399,17353263322.55399,14168880169.140839
EGY,Land area below 5m (% of land area),4.048382,34706526643.07122,17353263323.559803,17353263323.559803,14168880168.319595
EMU,Land area below 5m (% of land area),3.56661424632258,34706526643.07122,17353263323.318916,17353263323.318916,14168880168.516275
ERI,Land area below 5m (% of land area),3.119232,34706526643.07122,17353263323.095226,17353263323.095226,14168880168.698917
ESP,Land area below 5m (% of land area),1.256672,34706526643.07122,17353263322.163948,17353263322.163948,14168880169.459307
EST,Land area below 5m (% of land area),3.354928,34706526643.07122,17353263323.213074,17353263323.213074,14168880168.602697
ETH,Land area below 5m (% of land area),0.6725273,34706526643.07122,17353263321.871872,17353263321.871872,14168880169.697783
FIN,Land area below 5m (% of land area),1.108274,34706526643.07122,17353263322.08975,17353263322.08975,14168880169.51989
FJI,Land area below 5m (% of land area),11.35986,34706526643.07122,17353263327.21554,17353263327.21554,14168880165.334698
FRA,Land area below 5m (% of land area),2.067913,34706526643.07122,17353263322.569565,17353263322.569565,14168880169.128119
FRO,Land area below 5m (% of land area),14.54897,34706526643.07122,17353263328.810097,17353263328.810097,14168880164.03275
FSM,Land area below 5m (% of land area),33.37462,34706526643.07122,17353263338.22292,17353263338.22292,14168880156.347208
GAB,Land area below 5m (% of land area),0.5366168,34706526643.07122,17353263321.803917,17353263321.803917,14168880169.753267
GBR,Land area below 5m (% of land area),7.612598,34706526643.07122,17353263325.341908,17353263325.341908,14168880166.86451
GEO,Land area below 5m (% of land area),1.427602,34706526643.07122,17353263322.249413,17353263322.249413,14168880169.389524
GHA,Land area below 5m (% of land area),0.7665069,34706526643.07122,17353263321.918865,17353263321.918865,14168880169.659416
GIB,Land area below 5m (% of land area),100.0001,34706526643.07122,17353263371.53566,17353263371.53566,14168880129.14747
GIN,Land area below 5m (% of land area),1.050092,34706526643.07122,17353263322.060658,17353263322.060658,14168880169.543644
GMB,Land area below 5m (% of land area),16.58088,34706526643.07122,17353263329.82605,17353263329.82605,14168880163.203226
GNB,Land area below 5m (% of land area),9.497562,34706526643.07122,17353263326.28439,17353263326.28439,14168880166.094976
GNQ,Land area below 5m (% of land area),0.9218137,34706526643.07122,17353263321.996517,17353263321.996517,14168880169.596012
GRC,Land area below 5m (% of land area),6.334259,34706526643.07122,17353263324.70274,17353263324.70274,14168880167.38639
GRD,Land area below 5m (% of land area),21.74677,34706526643.07122,17353263332.408997,17353263332.408997,14168880161.09426
GRL,Land area below 5m (% of land area),16.26579,34706526643.07122,17353263329.668507,17353263329.668507,14168880163.33186
GTM,Land area below 5m (% of land area),0.5609614,34706526643.07122,17353263321.81609,17353263321.81609,14168880169.743328
GUM,Land area below 5m (% of land area),20.38489,34706526643.07122,17353263331.728054,17353263331.728054,14168880161.650244
GUY,Land area below 5m (% of land area),2.715692,34706526643.07122,17353263322.893456,17353263322.893456,14168880168.863665
HIC,Land area below 5m (% of land area),2.20460948574319,34706526643.07122,17353263322.637917,17353263322.637917,14168880169.072311
HKG,Land area below 5m (% of land area),24.57421,34706526643.07122,17353263333.822716,17353263333.822716,14168880159.93996
HND,Land area below 5m (% of land area),3.043469,34706526643.07122,17353263323.057346,17353263323.057346,14168880168.72985
HRV,Land area below 5m (% of land area),3.030254,34706526643.07122,17353263323.050735,17353263323.050735,14168880168.735245
HTI,Land area below 5m (% of land area),3.940334,34706526643.07122,17353263323.505775,17353263323.505775,14168880168.363705
HUN,Land area below 5m (% of land area),0.0,34706526643.07122,17353263321.53561,17353263321.53561,14168880169.97234
IDN,Land area below 5m (% of land area),5.497674,34706526643.07122,17353263324.284447,17353263324.284447,14168880167.727924
IMY,Land area below 5m (% of land area),12.08876,34706526643.07122,17353263327.57999,17353263327.57999,14168880165.037125
IND,Land area below 5m (% of land area),1.353457,34706526643.07122,17353263322.212337,17353263322.212337,14168880169.419792
IRL,Land area below 5m (% of land area),3.958941,34706526643.07122,17353263323.51508,17353263323.51508,14168880168.356108
IRN,Land area below 5m (% of land area),1.593336,34706526643.07122,17353263322.33228,17353263322.33228,14168880169.321863
IRQ,Land area below 5m (% of land area),4.024576,34706526643.07122,17353263323.547897,17353263323.547897,14168880168.329315
ISL,Land area below 5m (% of land area),4.41256,34706526643.07122,17353263323.74189,17353263323.74189,14168880168.17092
ISR,Land area below 5m (% of land area),7.823743,34706526643.07122,17353263325.447483,17353263325.447483,14168880166.77831
ITA,Land area below 5m (% of land area),5.188644,34706526643.07122,17353263324.129932,17353263324.129932,14168880167.854084
JAM,Land area below 5m (% of land area),7.141161,34706526643.07122,17353263325.10619,17353263325.10619,14168880167.056973
JOR,Land area below 5m (% of land area),2.007511,34706526643.07122,17353263322.539364,17353263322.539364,14168880169.152779
JPN,Land area below 5m (% of land area),5.883866,34706526643.07122,17353263324.477543,17353263324.477543,14168880167.570263
KAZ,Land area below 5m (% of land area),6.678062,34706526643.07122,17353263324.87464,17353263324.87464,14168880167.246033
KEN,Land area below 5m (% of land area),0.2394978,34706526643.07122,17353263321.655357,17353263321.655357,14168880169.874565
KGZ,Land area below 5m (% of land area),0.0,34706526643.07122,17353263321.53561,17353263321.53561,14168880169.97234
KHM,Land area below 5m (% of land area),3.842303,34706526643.07122,17353263323.45676,17353263323.45676,14168880168.403727
KIR,Land area below 5m (% of land area),96.66959,34706526643.07122,17353263369.870407,17353263369.870407,14168880130.507145
KNA,Land area below 5m (% of land area),19.02063,34706526643.07122,17353263331.045925,17353263331.045925,14168880162.207201
KOR,Land area below 5m (% of land area),4.301836,34706526643.07122,17353263323.686527,17353263323.686527,14168880168.216124
KSV,Land area below 5m (% of land area),21956746574.405476,34706526643.07122,28331636608.73835,28331636608.73835,5205075916.823025
KWT,Land area below 5m (% of land area),8.859625,34706526643.07122,17353263325.965424,17353263325.965424,14168880166.355412
LAC,Land area below 5m (% of land area),1.50947950939341,34706526643.07122,17353263322.290348,17353263322.290348,14168880169.356096
LAO,Land area below 5m (% of land area),0.0,34706526643.07122,17353263321.53561,17353263321.53561,14168880169.97234
LBN,Land area below 5m (% of land area),1.742301,34706526643.07122,17353263322.40676,17353263322.40676,14168880169.26105
LBR,Land area below 5m (% of land area),0.3521506,34706526643.07122,17353263321.711685,17353263321.711685,14168880169.828575
LBY,Land area below 5m (% of land area),0.7758676,34706526643.07122,17353263321.923546,17353263321.923546,14168880169.655594
LCA,Land area below 5m (% of land area),8.024293,34706526643.07122,17353263325.547756,17353263325.547756,14168880166.696436
LIC,Land area below 5m (% of land area),0.724681661206169,34706526643.07122,17353263321.89795,17353263321.89795,14168880169.67649
LIE,Land area below 5m (% of land area),0.0,34706526643.07122,17353263321.53561,17353263321.53561,14168880169.97234
LKA,Land area below 5m (% of land area),3.868529,34706526643.07122,17353263323.469875,17353263323.469875,14168880168.39302
LMC,Land area below 5m (% of land area),1.72517836857612,34706526643.07122,17353263322.3982,17353263322.3982,14168880169.26804
LMY,Land area below 5m (% of land area),1.60768277091836,34706526643.07122,17353263322.33945,17353263322.33945,14168880169.316008
LSO,Land area below 5m (% of land area),0.0,34706526643.07122,17353263321.53561,17353263321.53561,14168880169.97234
LTU,Land area below 5m (% of land area),1.911668,34706526643.07122,17353263322.491444,17353263322.491444,14168880169.191906
LUX,Land area below 5m (% of land area),0.0,34706526643.07122,17353263321.53561,17353263321.53561,14168880169.97234
LVA,Land area below 5m (% of land area),3.031544,34706526643.07122,17353263323.051384,17353263323.051384,14168880168.734718
MAC,Land area below 5m (% of land area),35.38876,34706526643.07122,17353263339.229992,17353263339.229992,14168880155.52494
MAF,Land area below 5m (% of land area),21956746574.405476,34706526643.07122,28331636608.73835,28331636608.73835,5205075916.823025
MAR,Land area below 5m (% of land area),0.702659,34706526643.07122,17353263321.88694,17353263321.88694,14168880169.68548
MCO,Land area below 5m (% of land area),100.0,34706526643.07122,17353263371.53561,17353263371.53561,14168880129.147512
MDA,Land area below 5m (% of land area),1.302524,34706526643.07122,17353263322.18687,17353263322.18687,14168880169.440588
MDG,Land area below 5m (% of land area),1.338625,34706526643.07122,17353263322.20492,17353263322.20492,14168880169.425848
MDV,Land area below 5m (% of land area),99.99999,34706526643.07122,17353263371.535606,17353263371.535606,14168880129.147516
MEX,Land area below 5m (% of land area),2.941872,34706526643.07122,17353263323.006546,17353263323.006546,14168880168.771326
MHL,Land area below 5m (% of land area),99.01826,34706526643.07122,17353263371.04474,17353263371.04474,14168880129.548304
MIC,Land area below 5m (% of land area),1.7725769975819,34706526643.07122,17353263322.421898,17353263322.421898,14168880169.24869
MKD,Land area below 5m (% of land area),0.0,34706526643.07122,17353263321.53561,17353263321.53561,14168880169.97234
MLI,Land area below 5m (% of land area),0.0,34706526643.07122,17353263321.53561,17353263321.53561,14168880169.97234
MLT,Land area below 5m (% of land area),19.35084,34706526643.07122,17353263331.21103,17353263331.21103,14168880162.072393
MMR,Land area below 5m (% of land area),4.560159,34706526643.07122,17353263323.81569,17353263323.81569,14168880168.110664
MNA,Land area below 5m (% of land area),1.38658630189215,34706526643.07122,17353263322.228905,17353263322.228905,14168880169.40627
MNE,Land area below 5m (% of land area),21956746574.405476,34706526643.07122,28331636608.73835,28331636608.73835,5205075916.823025
MNG,Land area below 5m (% of land area),0.0,34706526643.07122,17353263321.53561,17353263321.53561,14168880169.97234
MNP,Land area below 5m (% of land area),28.05892,34706526643.07122,17353263335.56507,17353263335.56507,14168880158.517334
MOZ,Land area below 5m (% of land area),1.832448,34706526643.07122,17353263322.451836,17353263322.451836,14168880169.224247
MRT,Land area below 5m (% of land area),1.04547,34706526643.07122,17353263322.058346,17353263322.058346,14168880169.545528
